UNU_Key,Year,Exp_kg,Exp_sup,Imp_kg,Imp_sup,Avg
0101,2012,16083808.0,272025,14122994.0,511273,38.56361435877533
0101,2013,18486697.0,319293,16074478.0,406477,47.62001047163702
0101,2014,19587367.0,389919,16916084.0,403866,45.98657193068652
0101,2015,24443917.0,619336,12804760.0,716404,27.886173207360713
0101,2016,19201709.0,370462,9763074.0,393959,37.891139830015135
0101,2017,22555154.0,579264,13619087.0,495573,33.6555598662867
0101,2018,28138288.0,626413,37001441.0,1137522,36.9286447629873
0102,1993,121321400.0,2382454,86036900.0,1773627,49.89274751863594
0102,1994,138700700.0,2731929,95762600.0,1975771,49.804214372198736
0102,1995,180039800.0,3566499,113522900.0,2307193,49.97924644329325
0102,1996,197332500.0,3883583,127603600.0,2562272,50.4100852408253
0102,1997,229758300.0,4633535,162281500.0,3382476,48.907093565615114
0102,1998,242757200.0,4854559,149836600.0,3174929,48.89400170969805
0102,1999,272001700.0,5594360,206367500.0,4545473,47.17722668608053
0102,2000,298164000.0,6077907,227615800.0,5040057,47.291014793715824
0102,2001,298167900.0,6094313,256275300.0,5715226,46.948758965104396
0102,2002,304022400.0,6278455,210864600.0,4482205,47.84901669600192
0102,2003,314869000.0,6550733,221491300.0,4646559,47.900894251931625
0102,2004,344072000.0,7460356,238635700.0,5173459,46.12286154261401
0102,2005,363618800.0,7806165,315548400.0,7005812,45.85256917425675
0102,2006,245034300.0,8354600,229665900.0,8043448,28.94857973339266
0102,2007,257505400.0,9962356,267366100.0,8597522,28.2799003312414
0102,2008,260013500.0,9208463,273145600.0,8702401,29.76735795660109
0102,2009,242208800.0,5628263,237090400.0,5796990,41.95086095686459
0102,2010,348854530.0,7920608,369977017.0,8835934,42.89856146930554
0102,2011,341649416.0,7887113,339508238.0,9130342,40.0269989842782
0102,2012,334918728.0,8130525,340308136.0,8962013,39.50418972302416
0102,2013,348803046.0,8281747,280841845.0,7159305,40.77733116888668
0102,2014,545706354.0,13036257,424373897.0,10471195,41.26692467563052
0102,2015,405168250.0,9770860,440935964.0,11070586,40.59719340011245
0102,2016,417051474.0,10315447,461702385.0,11751200,39.82271792357035
0102,2017,444373336.0,11148358,491795306.0,12569562,39.47094188697829
0102,2018,426405133.0,10495378,497989146.0,13352555,38.76202935491307
0103,1993,64042600.0,1785694,63268200.0,1707249,36.448003875242165
0103,1994,87879600.0,2394779,90108600.0,2397624,37.13965624343362
0103,1995,106832700.0,2908847,106684000.0,2935608,36.53320968336654
0103,1996,119630500.0,3207206,111827300.0,3194413,36.15613487775514
0103,1997,131483600.0,3571556,120612900.0,3276650,36.81204975434442
0103,1998,138565300.0,3784203,129290500.0,3589239,36.32710476328423
0103,1999,175407100.0,4520481,127480300.0,3458210,37.962041643171794
0103,2000,199775700.0,5148998,137909200.0,3703846,38.14422800175853
0103,2001,209084900.0,5375670,183145300.0,4954155,37.9706529394254
0103,2002,219781200.0,5808104,173590200.0,4712529,37.39046880544165
0103,2003,229747300.0,6138221,214112500.0,5589749,37.84625983865921
0103,2004,234370300.0,6066712,217640300.0,5744483,38.269675507008394
0103,2005,286031500.0,7473582,246450600.0,6593523,37.85299818263957
0103,2006,197381400.0,8369195,215583400.0,17716350,15.831173931769492
0103,2007,243544000.0,9448668,230284100.0,9144983,25.48332761543174
0103,2008,262095800.0,46788850,240588200.0,8837288,9.036830850993107
0103,2009,208181300.0,5698161,213923400.0,6699186,34.0479862344742
0103,2010,299331039.0,8490117,274906891.0,8526016,33.746676169021484
0103,2011,296865110.0,8468103,282994904.0,8530206,34.112805809095484
0103,2012,311929938.0,8749660,297398523.0,8693286,34.932657648541706
0103,2013,314204672.0,9504796,273723735.0,8093811,33.40766726593758
0103,2014,418257236.0,10873205,353557973.0,9969931,37.02970651825138
0103,2015,369569155.0,10547779,379807986.0,10707167,35.2566005578184
0103,2016,369956919.0,9932105,402303230.0,11399877,36.20198765403046
0103,2017,355510986.0,9502814,405688213.0,11720126,35.866811996829846
0103,2018,390973018.0,10949426,436740168.0,12522607,35.26380463081319
0104,1993,20126100.0,281796,24902800.0,451988,61.36533366767332
0104,1994,580874100.0,8000858,348904400.0,5258100,70.12455277405661
0104,1995,650566000.0,9046123,412520100.0,6123539,70.07974864568506
0104,1996,724896400.0,10278759,405211300.0,5920285,69.76385149642164
0104,1997,813451400.0,11512983,449124100.0,6932022,68.45080822694274
0104,1998,825793700.0,11687984,441776000.0,6596215,69.32596281630931
0104,1999,851104900.0,11859533,525956500.0,7815529,69.9901936776616
0104,2000,987484300.0,13909496,768195200.0,11177552,69.98350304109117
0104,2001,1081365700.0,15301865,759306900.0,13813075,63.2208962134217
0104,2002,1200754700.0,16532200,870413000.0,14384264,66.99238632205805
0104,2003,1251658300.0,17338718,885947200.0,13049554,70.34310802535926
0104,2004,1420820800.0,19784682,969768800.0,14483438,69.76132918876203
0104,2005,1379115400.0,19707782,1081604400.0,15702199,69.49226547170414
0104,2006,815046200.0,19454086,838769400.0,16554730,45.92807494697965
0104,2007,821787900.0,19391763,906296900.0,17855321,46.39517015613893
0104,2008,832275600.0,17379432,875321600.0,17340017,49.182727525428184
0104,2009,707897400.0,10723705,839646600.0,13097434,64.9651555284573
0104,2010,1102664267.0,16024116,1181618733.0,18014286,67.10899647991701
0104,2011,1011084687.0,14804873,1051699842.0,15913058,67.15245662215987
0104,2012,1012274485.0,15303235,1035656169.0,16620757,64.15020571362128
0104,2013,1002581854.0,15448673,987725394.0,14795667,65.8075940159382
0104,2014,1159462283.0,17122967,1284223922.0,19793304,66.19536965150137
0104,2015,1128471089.0,16651928,1323933434.0,19950236,67.00162654317378
0104,2016,1097121935.0,16234295,1385970108.0,21887982,65.13493522435714
0104,2017,1053884172.0,15730779,1407788105.0,21667867,65.8224973438878
0104,2018,984480490.0,14771944,1413783986.0,24888102,60.470541965584204
0105,1993,1780300.0,146987,1891000.0,108946,14.344769920252567
0105,1994,1609600.0,136771,1906500.0,119059,13.743892428565845
0105,1995,1902800.0,135441,1664300.0,100596,15.112461181933341
0105,1996,2082200.0,1654548,1738500.0,110635,2.164478130596091
0105,1997,2218000.0,2055383,1711200.0,99634,1.8232802803875794
0105,1998,1583800.0,130431,1756900.0,92626,14.976889315287124
0105,1999,1433100.0,216551,2919300.0,208262,10.245449174107195
0105,2000,3185900.0,179396,4852700.0,194285,21.511931299691447
0105,2001,4009200.0,264208,5875700.0,226414,20.147690075047592
0105,2002,3281300.0,159393,8489300.0,339308,23.602519345258983
0105,2003,3161200.0,147925,8837700.0,323989,25.426031014125456
0105,2004,2605800.0,108566,10034100.0,350536,27.531790321105113
0105,2005,2777700.0,240802,10134000.0,336784,22.3545930822423
0105,2006,1217800.0,92484,8284200.0,318325,23.129970375527314
0105,2007,1066500.0,48817,6656100.0,299659,22.16106704622413
0105,2008,1201500.0,87207,5259000.0,221862,20.903099307921533
0105,2009,1395700.0,403855,4638400.0,165632,10.595676459690916
0105,2010,1318707.0,60030,5530054.0,206423,25.703448638221374
0105,2011,1179670.0,226203,4618826.0,199119,13.63319085304781
0105,2012,1094844.0,195256,5349648.0,179623,17.19085891714393
0105,2013,1789111.0,46957,3705989.0,203228,21.96414653156664
0105,2014,1374442.0,38011,3741588.0,126758,31.049712021071926
0105,2015,1512703.0,47635,4284779.0,210920,22.422625746939723
0105,2016,1443044.0,43228,4047401.0,144155,29.30065694326593
0105,2017,1679921.0,54612,4764455.0,198388,25.4718418972332
0105,2018,1440866.0,47973,3269471.0,152518,23.49400721229382
0106,1993,107071600.0,14430353,70432900.0,9468755,7.427243728092279
0106,1994,118115400.0,15471811,77815500.0,11198842,7.3463105683989065
0106,1995,145005800.0,17195893,88346200.0,12515472,7.853964299519729
0106,1996,154601700.0,19619109,97617700.0,13728982,7.563233529619431
0106,1997,185963200.0,23056905,105282400.0,16114567,7.435145659065353
0106,1998,178618300.0,22697670,105190800.0,17462509,7.066928162845091
0106,1999,183810500.0,21834484,122756900.0,19203948,7.470251300049671
0106,2000,212406600.0,25092125,141023200.0,21333841,7.612761358589717
0106,2001,215422600.0,26414340,156726400.0,21924026,7.698832848425203
0106,2002,222878500.0,26255820,178170200.0,27285739,7.490418797853832
0106,2003,227833200.0,26565222,203956400.0,32771321,7.27695915820374
0106,2004,210458200.0,25671565,225856700.0,36614092,7.005062176674158
0106,2005,206814000.0,25224030,240593500.0,40842375,6.772087871286473
0106,2006,118829500.0,27159337,211614400.0,47534522,4.423976809124295
0106,2007,111861700.0,25166764,218844200.0,47221363,4.568510247543772
0106,2008,109417500.0,26896841,201999600.0,48658753,4.121694814549403
0106,2009,101799500.0,28143901,206321200.0,56555958,3.637794721712583
0106,2010,169970714.0,34652883,270192196.0,66772722,4.339761246679278
0106,2011,162064503.0,38013364,288214514.0,64909183,4.374930762255621
0106,2012,161600513.0,37068307,241648157.0,56410674,4.31378974916297
0106,2013,166890487.0,35728372,256844368.0,59837667,4.433948078563767
0106,2014,172475465.0,28472119,261351059.0,53307803,5.3048048150498355
0106,2015,166746053.0,25973098,251753626.0,46777709,5.752509095878483
0106,2016,165068387.0,27054734,257924947.0,52841535,5.294281438849166
0106,2017,191387531.0,30061467,313144932.0,62394102,5.457026206825897
0106,2018,195181844.0,31254237,345370944.0,67600295,5.468163948214332
0108,1993,151052400.0,3693182,183940900.0,4173198,42.58544591031707
0108,1994,191084400.0,4486207,198388900.0,4607754,42.827685317761976
0108,1995,210588100.0,5008413,209534100.0,4873851,42.512748090923296
0108,1996,193428200.0,4710075,221188300.0,5248947,41.6322506366589
0108,1997,209989600.0,4864686,226475700.0,5366920,42.65853278556661
0108,1998,243979500.0,5576944,260093900.0,6195022,42.81981446429594
0108,1999,286431400.0,6765878,303338200.0,7150042,42.3809277431891
0108,2000,294718700.0,6943432,338453900.0,7603155,43.527227383303035
0108,2001,288809100.0,6922393,351767400.0,8177732,42.42193359326496
0108,2002,314801300.0,7226612,373800300.0,10182401,39.55431591670361
0108,2003,327308400.0,7595744,441591400.0,10638072,42.16889103191564
0108,2004,358264100.0,7965156,455351200.0,11864610,41.030000051437824
0108,2005,352774900.0,8206331,479343600.0,11503582,42.218273616935804
0108,2006,484969300.0,15321056,906317500.0,21411464,37.87615987141639
0108,2007,615586000.0,16081584,912452800.0,25784140,36.49856383709022
0108,2008,540396900.0,12685622,819399100.0,23470528,37.608982151031014
0108,2009,492111100.0,10869106,839568200.0,17893845,46.298423969084396
0108,2010,664203051.0,12357560,1048401449.0,20690269,51.82199714238415
0108,2011,632848980.0,12147486,946079796.0,19167791,50.42039947467174
0108,2012,636178996.0,11461160,960549786.0,19699614,51.24162775931047
0108,2013,673804663.0,12037989,905025307.0,19895016,49.441947915644015
0108,2014,1206182939.0,22618820,1127018332.0,21953185,52.34678742856643
0108,2015,774781422.0,13511158,1193643538.0,22847251,54.1394690840295
0108,2016,737535914.0,13001210,1242944039.0,24566368,52.717797058942686
0108,2017,734864213.0,13349529,1273723618.0,25502689,51.69815095241152
0108,2018,743453912.0,13796217,1270200881.0,25426396,51.33912911411588
0109,2006,189721500.0,4922509,150047400.0,6004837,31.093451236924317
0109,2007,200836200.0,5232648,180347300.0,6217994,33.28926884623587
0109,2008,169754300.0,4629747,167907600.0,5516926,33.278090266632226
0109,2009,148740200.0,3103873,161655500.0,3599908,46.30158711926896
0109,2010,191029633.0,3977366,223465458.0,4871545,46.841367372776155
0109,2011,182520044.0,3752392,212350689.0,4853381,45.88440027409508
0109,2012,183288405.0,3645326,187985532.0,4131789,47.739288540802086
0109,2013,186324028.0,3777159,173209170.0,3702323,48.06926442232229
0109,2014,307292644.0,5841050,242785895.0,5339377,49.20013689995919
0109,2015,188573504.0,3570500,244037410.0,5343181,48.533362816102574
0109,2016,178883957.0,3428484,241193007.0,5278739,48.2446543519099
0109,2017,176460339.0,3363431,250545166.0,5526978,48.029905598268876
0109,2018,174759457.0,3272327,259026402.0,5647201,48.63327510155246
0113,1993,11351600.0,101698,10926500.0,187513,77.0306108688812
0113,1994,14790600.0,107394,12293500.0,343433,60.07648166591619
0113,1995,89440200.0,610131,42489000.0,433608,126.40056565865605
0113,1996,97760900.0,689602,48341600.0,325003,143.99938892475396
0113,1997,100889000.0,825323,38122600.0,248433,129.46293198827294
0113,1998,140041900.0,1002931,64511700.0,427504,143.0009752278153
0113,1999,132943900.0,1057394,74708800.0,601874,125.14717333185477
0113,2000,144205100.0,1075223,84837400.0,585898,137.88429620719984
0113,2001,143075600.0,1216454,76420400.0,657010,117.16051122412814
0113,2002,171769800.0,1190115,118652800.0,8049837,31.43118059487755
0113,2003,158213100.0,1341869,129094300.0,971317,124.20419283187776
0113,2004,183018300.0,1397596,129528800.0,1273189,117.02443289145326
0113,2005,172273500.0,1594388,131283700.0,1266424,106.10875513665351
0113,2006,149697800.0,1903263,124100100.0,1973810,70.61974329603801
0113,2007,172982800.0,3014751,143044500.0,2361404,58.7831452032168
0113,2008,145621400.0,2424879,137522400.0,1990013,64.13379987551224
0113,2009,146636400.0,2444339,108209200.0,1683293,61.7413567876206
0113,2010,302753907.0,2828682,226894522.0,4430122,72.96634941513781
0113,2011,288943186.0,3066278,245312843.0,4518443,70.43845502029673
0113,2012,272519139.0,3639646,215185468.0,3564890,67.69410368689948
0113,2013,273143500.0,2506689,224069051.0,3259324,86.2316042298205
0113,2014,367844621.0,3315098,258522342.0,4959390,75.69857651615423
0113,2015,287464649.0,2866372,264905640.0,4391773,76.10350702555543
0113,2016,308941876.0,3048568,272124846.0,5002586,72.17185536383977
0113,2017,349044787.0,3372441,311087509.0,5170872,77.26888807655766
0113,2018,356060020.0,6394113,338650528.0,5273906,59.53971689624434
0114,1993,51147000.0,2677828,109604900.0,6289286,17.92682684752307
0114,1994,58384100.0,3152370,98144000.0,5787969,17.508072121202563
0114,1995,85568900.0,4873375,114870800.0,6755825,17.235897568190417
0114,1996,104301300.0,6177771,117746000.0,6929540,16.94072109832444
0114,1997,118130100.0,6865593,116890900.0,7542266,16.312000277071007
0114,1998,135086400.0,7923786,130266000.0,8534448,16.122774776443208
0114,1999,109759600.0,6729406,146110000.0,9930359,15.358535969745072
0114,2000,134754100.0,8113892,167241200.0,12026329,14.994636851303667
0114,2001,116145200.0,6988004,166457900.0,12145437,14.770113750056773
0114,2002,112346400.0,6990624,205747600.0,14541330,14.773113485195074
0114,2003,98861100.0,5888863,256833600.0,18158439,14.791459765423996
0114,2004,85537700.0,5047742,280198100.0,19209485,15.077395285124718
0114,2005,74524200.0,4497133,280370200.0,19691194,14.672135034390761
0114,2006,59422800.0,4301193,251652700.0,20344563,12.62186885238984
0114,2007,60695500.0,4821892,273750200.0,21812081,12.55710892250285
0114,2008,52405200.0,4793656,220200500.0,18320275,11.79399990421361
0114,2009,51515900.0,3886073,216504900.0,17704929,12.413541529939184
0114,2010,51102214.0,3872829,230668109.0,18358741,12.674333076791248
0114,2011,59476527.0,3701646,217460027.0,17268240,13.206392919827985
0114,2012,55738317.0,4317825,209568697.0,16810608,12.556871302287302
0114,2013,75099446.0,5263130,228380590.0,18098390,12.990594618843295
0114,2014,67822097.0,4600725,239717411.0,18982882,13.040393184978024
0114,2015,55935258.0,4298410,242550998.0,18706285,12.975014708953976
0114,2016,58422226.0,4479988,248149454.0,19572851,12.745758619180048
0114,2017,66322586.0,5102650,250010066.0,19624221,12.793072443335026
0114,2018,59737010.0,4457548,252299429.0,20171070,12.669669041113066
0201,1993,25717600.0,15369063,35449000.0,739513084,0.08102801244284825
0201,1994,21747800.0,14898302,34113200.0,34321145,1.1349375786363467
0201,1995,30348800.0,75732831,64185000.0,585332258,0.14300225737680727
0201,1996,34522500.0,89786543,73266000.0,321516457,0.26206592220333913
0201,1997,33944300.0,87564825,77209500.0,327088472,0.2680644307043819
0201,1998,42218700.0,107312855,92611300.0,378721445,0.27740840512696324
0201,1999,49163700.0,143176520,113054900.0,429744463,0.28314305953775826
0201,2000,50839100.0,123455270,120733500.0,424966875,0.31284768779714395
0201,2001,48908600.0,135704895,110565400.0,417781285,0.2881264352436045
0201,2002,48644200.0,350633608,117807300.0,425051626,0.21458639755413986
0201,2003,53939100.0,465584672,140143300.0,475746028,0.20617876374370878
0201,2004,56787500.0,240219362,158391900.0,504208216,0.2890535041408689
0201,2005,60446500.0,189589979,170763700.0,471027335,0.3499911296602801
0201,2006,34470200.0,192049755,145357200.0,520951939,0.25221174299201593
0201,2007,37694100.0,159316252,153679900.0,491158016,0.2942068724538693
0201,2008,30081000.0,145382293,141034700.0,413915603,0.30594733365490795
0201,2009,38365000.0,139513290,137532800.0,381831590,0.337392399441997
0201,2010,49279918.0,134133653,160261494.0,417687818,0.37972681929224894
0201,2011,92095358.0,167526762,234333194.0,469862899,0.5121334279063557
0201,2012,86251320.0,159354383,215580941.0,404940486,0.5348839367171351
0201,2013,89095103.0,152912738,222771215.0,429878387,0.5351253727482552
0201,2014,104436388.0,161248727,239376202.0,457228051,0.5559021813426922
0201,2015,110989515.0,169058110,234093147.0,442513046,0.5642559473488314
0201,2016,111391602.0,159652962,238826553.0,429987736,0.59395180181406
0201,2017,110492931.0,160374285,243652549.0,400187942,0.6317683620876581
0201,2018,109970749.0,148388349,237620102.0,370696248,0.6696227416665188
0202,1993,64392500.0,35424814,71921900.0,38218677,1.8510040486809622
0202,1994,92702100.0,38314003,91464000.0,45391353,2.2001710380396684
0202,1995,106096500.0,42446758,115691900.0,57808519,2.212236668599499
0202,1996,110677900.0,41559533,130280100.0,54407901,2.510830913745177
0202,1997,120290300.0,46521302,139177600.0,62933359,2.3705514011870177
0202,1998,125043600.0,48028309,143716200.0,66912955,2.338235988078224
0202,1999,142002000.0,54102238,184877000.0,79816341,2.4408786476146824
0202,2000,139759200.0,48386596,201235100.0,78366187,2.6902312669537203
0202,2001,144128300.0,48578624,188636200.0,83607968,2.517384667879175
0202,2002,151199200.0,49966347,217030000.0,87117121,2.6861678171141685
0202,2003,156052300.0,50483082,275787300.0,110488384,2.682708996388217
0202,2004,239050800.0,104496879,418896700.0,182265005,2.294403603513778
0202,2005,223194300.0,1000237345,442121600.0,189538104,0.5591945106609777
0202,2006,133458000.0,101520592,376434600.0,227759600,1.5485067501418366
0202,2007,142595000.0,110325614,406067700.0,273963081,1.4277357287338364
0202,2008,144830800.0,95454850,406172700.0,232900327,1.678071608415664
0202,2009,134649200.0,79966433,382034200.0,212644149,1.765771410139911
0202,2010,218450781.0,94685710,495406272.0,253366606,2.05100503626587
0202,2011,292297654.0,113364756,571834476.0,264127961,2.289135898746359
0202,2012,291640319.0,108229130,553671261.0,246813582,2.3808729243821234
0202,2013,329177518.0,105890583,592215778.0,249790220,2.5905061173627635
0202,2014,380420082.0,125380267,688346429.0,280124550,2.6356444268823567
0202,2015,405250108.0,131184631,730050311.0,305148569,2.6019116102098123
0202,2016,419807584.0,140887421,732303557.0,305763539,2.5794440047772427
0202,2017,418027506.0,142058354,731907581.0,313274594,2.525481830495605
0202,2018,445875090.0,144444895,758221238.0,320623714,2.5890724609194167
0203,1993,22998700.0,13178014,25118100.0,11914652,1.9175642795388899
0203,1994,29553100.0,13967830,28052300.0,13009391,2.135334844163526
0203,1995,36756500.0,14676459,37622600.0,16478697,2.3873769080148404
0203,1996,30462400.0,13688831,37458000.0,17355543,2.18784891587764
0203,1997,31757600.0,13216788,40369400.0,18321794,2.2869449235225603
0203,1998,30403200.0,12056356,43154200.0,19809274,2.3083617050722047
0203,1999,34210900.0,15383305,58913100.0,26361645,2.230784801514914
0203,2000,38724300.0,15960474,64672100.0,27463870,2.381069936255111
0203,2001,35953400.0,14587888,63775800.0,111164812,0.793058121217278
0203,2002,42344600.0,19052714,76056000.0,35400393,2.174358939702008
0203,2003,49533700.0,19566801,87133400.0,38051902,2.3719225335565084
0203,2004,71628000.0,24151076,102799100.0,41439606,2.659327433125333
0203,2005,67703200.0,24409333,120707400.0,44723248,2.7253517411710697
0203,2006,44999600.0,24922493,105329100.0,46176059,2.1143707680572734
0203,2007,49039600.0,24360690,114084500.0,45814556,2.3245248046583264
0203,2008,49612100.0,23684766,107989300.0,46175825,2.2559414076528497
0203,2009,51157700.0,21119274,110660900.0,41636445,2.578547462742001
0203,2010,54244779.0,19081010,127406791.0,44547069,2.8548963422265192
0203,2011,167689049.0,48722693,249545250.0,87683614,3.0587610512760235
0203,2012,208918866.0,51723317,251857065.0,91068587,3.2269051542305927
0203,2013,212359710.0,55526909,311579471.0,101470579,3.337245631598895
0203,2014,256215193.0,63394178,351099472.0,108856088,3.525769098086618
0203,2015,252891509.0,61594747,365552925.0,111700491,3.5687329965754744
0203,2016,260658288.0,62428264,395776770.0,121401042,3.570894501445814
0203,2017,283600637.0,68469288,416663802.0,133612428,3.465253823359259
0203,2018,298579770.0,77542540,452573499.0,136708492,3.5059493622415783
0204,2007,116972300.0,23913870,283177100.0,55293842,5.0518994918070605
0204,2008,112317100.0,30881723,278663100.0,54414384,4.583798883107291
0204,2009,108436000.0,30408658,264279400.0,51043109,4.575903184519005
0204,2010,138892083.0,29550348,319996788.0,57001517,5.301894661657493
0204,2011,157565130.0,28472168,309933289.0,56772082,5.484222325846025
0204,2012,164223436.0,26998764,301231182.0,53651000,5.771307873882929
0204,2013,172745181.0,30245010,324851558.0,58813389,5.58730837952746
0204,2014,201797021.0,30804620,338946884.0,60504875,5.9220993939348805
0204,2015,196444032.0,31186841,344152506.0,65020168,5.619097232302482
0204,2016,216581199.0,35335719,342967222.0,68176976,5.405601902259428
0204,2017,229056488.0,37055406,371796368.0,73703989,5.42484776122152
0204,2018,257213284.0,44638585,421983286.0,89281540,5.07165424166084
0205,1993,41900.0,10692,117200.0,1057,13.541578006638863
0205,1994,251100.0,28497,733600.0,619616,1.5193338198740034
0205,1995,789100.0,279113,2278900.0,659206,3.269676943555443
0205,1996,1135400.0,641314,639700.0,392264,1.717432066084998
0205,1997,8106100.0,14026073,10574300.0,17605713,0.5905578648009315
0205,1998,8538400.0,14604267,11845000.0,19147920,0.6039134590004493
0205,1999,10830200.0,18654499,15020700.0,23478806,0.6135502543652818
0205,2000,13701800.0,21583961,16253400.0,26758872,0.6196409713928019
0205,2001,13622800.0,21614509,17717900.0,28792153,0.6217571002817048
0205,2002,16596700.0,26264247,20286000.0,33187058,0.6203850361232609
0205,2003,18083800.0,29006924,24691500.0,40725997,0.6134161510314475
0205,2004,19360100.0,32633442,26580300.0,43078857,0.60677592157121
0205,2005,19741400.0,31047964,27711700.0,38756860,0.6797968575925354
0205,2006,16029100.0,34524586,21912800.0,48036512,0.4595614753088676
0205,2007,15375300.0,33455230,20286000.0,43380338,0.4641248959075828
0205,2008,7314600.0,19708085,20879900.0,45855213,0.430034803923378
0205,2009,14774200.0,29553250,21330900.0,44837170,0.4853460969839934
0205,2010,18769842.0,39689464,25064115.0,50637103,0.4852831061319977
0205,2011,25399922.0,46703927,54145723.0,93385049,0.5678223031625272
0205,2012,32619757.0,48093695,55413609.0,100506817,0.5924163033839345
0205,2013,30039303.0,46120607,58217627.0,101969592,0.5959673941690091
0205,2014,32721725.0,47353743,61531096.0,100031660,0.6394990214872228
0205,2015,37018805.0,52429667,64359796.0,106767686,0.6368108457180189
0205,2016,41594473.0,63066778,71046568.0,125683355,0.5967733066445045
0205,2017,44361662.0,69462776,76135733.0,136801439,0.5841895308888165
0205,2018,45468288.0,79753936,76985033.0,136744847,0.565607433460723
0301,1993,4691300.0,17821486,12584500.0,63955018,0.21125627967661714
0301,1994,5882300.0,23440116,12646400.0,67921756,0.20280560801118436
0301,1995,7480700.0,57594374,15706600.0,141387722,0.11652957962609863
0301,1996,1920100.0,2745739,4968700.0,9878636,0.5456745383434823
0301,1997,1712000.0,2675829,4852800.0,9630077,0.5334674261285597
0301,1998,2407200.0,8963111,5782100.0,15159207,0.3394905912441748
0301,1999,2730900.0,3965708,7828100.0,15303451,0.5479740968456381
0301,2000,6310800.0,22694271,20529300.0,94566154,0.22889308136142267
0301,2001,9602700.0,57831060,32649700.0,261618805,0.13226613822485103
0301,2002,5132500.0,18033119,20490400.0,99356846,0.21827163846586034
0301,2003,4637500.0,16331804,13760100.0,65086673,0.2259634505322422
0301,2004,3391200.0,13547793,14466400.0,69058766,0.21617653871770642
0301,2005,3728100.0,17723948,15271000.0,88224428,0.17932412668600037
0301,2006,38808300.0,67750055,85849900.0,178650763,0.505916339936826
0301,2007,43530800.0,74893406,90215700.0,325610430,0.3339456154422451
0301,2008,19984500.0,78079276,99825300.0,180730185,0.4629266624839499
0301,2009,29639900.0,60515778,69941500.0,169288775,0.43333084005520117
0301,2010,24841145.0,59942105,70000189.0,149443501,0.45295059107358127
0301,2011,226412417.0,354113706,374906745.0,699858745,0.570526451075143
0301,2012,192843883.0,306565328,324040740.0,623722900,0.555617718727061
0301,2013,195899205.0,259822335,342348624.0,588842998,0.634228603514785
0301,2014,182027299.0,247534042,297914122.0,548173487,0.6031631014012939
0301,2015,221598555.0,275003106,391493406.0,596927954,0.7031427014424741
0301,2016,207369116.0,272321624,328869988.0,549676700,0.6523603374159678
0301,2017,196504055.0,273191757,301211690.0,514739135,0.6316743638984014
0301,2018,190557068.0,278289193,349388865.0,538292697,0.6612269260588182
0302,2006,176062300.0,41507295,226275900.0,48064180,4.491811706796165
0302,2007,274503100.0,56858151,239592000.0,39834831,5.31677779882722
0302,2008,238978300.0,37073165,233825500.0,57338076,5.007918495637612
0302,2009,268852000.0,33026529,245955800.0,43392221,6.736668684059867
0302,2010,287621576.0,33053921,318162045.0,38803302,8.430378961346724
0302,2011,263626759.0,30908777,294346356.0,37200709,8.19229666481406
0302,2012,168563212.0,26134686,266966203.0,34198311,7.218759827230197
0302,2013,210219188.0,27905808,263692096.0,36606147,7.346100176316157
0302,2014,223525159.0,36696532,333544956.0,43825015,6.918273875190202
0302,2015,200795768.0,36801312,332939939.0,46166571,6.433039963186719
0302,2016,229733401.0,53886202,345402519.0,50510406,5.509143745360002
0302,2017,254647968.0,43916791,311579778.0,56403414,5.644204435188305
