UNU_Key,Country,AverageWeight,Year
0702,,0.48,2014.0
0703,,7.37,2014.0
0801,,0.18,2014.0
0802,,67.04,2014.0
0901,,0.24,2014.0
0902,,5.51,2014.0
0112,,41.7,2014.0
0113,,110.1,2014.0
0114,,22.9,2014.0
0002,,17.0,2014.0
0109,,44.05,2009.0
0111,,26.7,2009.0
0201,,1.01,2009.0
0202,,3.27,2009.0
0203,,1.89,2009.0
0204,,5.8,2009.0
0205,,0.55,2009.0
0301,,0.41,2009.0
0302,,8.88,2009.0
0303,,2.43,2009.0
0304,,10.08,2009.0
0305,,0.47,2009.0
0306,,0.09,2009.0
0307,,40.0,2009.0
0308,,21.47,2009.0
0309,,5.46,2009.0
0401,,0.39,2009.0
0402,,0.24,2009.0
0403,,3.76,2009.0
0404,,3.51,2009.0
0405,,2.2,2009.0
0406,,0.34,2009.0
0407,,32.61,2009.0
0408,,14.15,2009.0
0501,,0.09,2009.0
0502,,0.08,2009.0
0505,,0.08,2009.0
0504,,0.07,2009.0
0503,,0.11,2009.0
0506,,0.45,2009.0
0507,,2.67,2009.0
0701,,0.45,2009.0
0702,,0.48,2009.0
0703,,7.37,2009.0
0801,,0.18,2009.0
0802,,67.04,2009.0
0901,,0.24,2009.0
0902,,5.51,2009.0
1001,,44.0,2009.0
1002,,92.22,2009.0
0001,,30.85,2010.0
1001,,44.0,2010.0
1002,,92.22,2010.0
0101,,124.61,2010.0
0102,,43.3,2010.0
0103,,47.66,2010.0
0104,,72.54,2010.0
0105,,45.98,2010.0
0106,,12.14,2010.0
0108,,40.79,2010.0
0109,,44.09,2010.0
0111,,26.7,2010.0
0201,,0.99,2010.0
0202,,3.27,2010.0
0203,,1.89,2010.0
0204,,5.88,2010.0
0205,,0.55,2010.0
0301,,0.4,2010.0
0302,,8.77,2010.0
0303,,2.28,2010.0
0304,,10.32,2010.0
0305,,0.45,2010.0
0306,,0.09,2010.0
0307,,40.0,2010.0
0308,,22.0,2010.0
0309,,5.5,2010.0
0401,,0.39,2010.0
0402,,0.23,2010.0
0403,,3.73,2010.0
0404,,3.51,2010.0
0405,,2.14,2010.0
0406,,0.29,2010.0
0407,,33.2,2010.0
0408,,14.7,2010.0
0501,,0.09,2010.0
0502,,0.08,2010.0
0505,,0.08,2010.0
0504,,0.07,2010.0
0503,,0.11,2010.0
0506,,0.45,2010.0
0507,,2.67,2010.0
0701,,0.45,2010.0
0702,,0.48,2010.0
0703,,7.37,2010.0
0103,,46.0,2006.0
0103,,46.41,2007.0
0103,,46.83,2008.0
0104,,69.36,1993.0
0104,,69.36,1994.0
0104,,69.36,1995.0
0104,,69.36,1996.0
0104,,69.58,1997.0
0104,,69.81,1998.0
0104,,70.04,1999.0
0104,,70.26,2000.0
0104,,70.49,2001.0
0104,,70.72,2002.0
0104,,70.95,2003.0
0104,,71.17,2004.0
0104,,71.4,2005.0
0104,,71.63,2006.0
0104,,71.85,2007.0
0104,,72.08,2008.0
0105,,38.27,1993.0
0105,,38.27,1994.0
0105,,38.27,1995.0
0105,,38.27,1996.0
0105,,38.82,1997.0
0105,,39.37,1998.0
0105,,39.92,1999.0
0105,,40.47,2000.0
0105,,41.02,2001.0
0105,,41.57,2002.0
0105,,42.12,2003.0
0105,,42.67,2004.0
0105,,43.22,2005.0
0105,,43.77,2006.0
0105,,44.32,2007.0
0105,,44.87,2008.0
0106,,12.14,1993.0
0106,,12.14,1994.0
0106,,12.14,1995.0
0106,,12.14,1996.0
0106,,12.14,1997.0
0106,,12.14,1998.0
0106,,12.14,1999.0
0106,,12.14,2000.0
0106,,12.14,2001.0
0106,,12.14,2002.0
0106,,12.14,2003.0
0106,,12.14,2004.0
0106,,12.14,2005.0
0106,,12.14,2006.0
0106,,12.14,2007.0
0106,,12.14,2008.0
0108,,33.59,1993.0
0108,,33.59,1994.0
0108,,33.59,1995.0
0108,,33.59,1996.0
0108,,34.1,1997.0
0108,,34.61,1998.0
0108,,35.13,1999.0
0108,,35.64,2000.0
0108,,36.16,2001.0
0108,,36.67,2002.0
0108,,37.19,2003.0
0108,,37.7,2004.0
0108,,38.21,2005.0
0108,,38.73,2006.0
0108,,39.24,2007.0
0108,,39.76,2008.0
0109,,43.59,1993.0
0109,,43.59,1994.0
0109,,43.59,1995.0
0109,,43.59,1996.0
0109,,43.62,1997.0
0109,,43.66,1998.0
0109,,43.69,1999.0
0109,,43.73,2000.0
0109,,43.76,2001.0
0109,,43.8,2002.0
0109,,43.84,2003.0
0109,,43.87,2004.0
0109,,43.91,2005.0
0109,,43.94,2006.0
0109,,43.98,2007.0
0109,,44.01,2008.0
0111,,26.7,1993.0
0111,,26.7,1994.0
0111,,26.7,1995.0
0111,,26.7,1996.0
0111,,26.7,1997.0
0111,,26.7,1998.0
0111,,26.7,1999.0
0111,,26.7,2000.0
0111,,26.7,2001.0
0111,,26.7,2002.0
0111,,26.7,2003.0
0111,,26.7,2004.0
0111,,26.7,2005.0
0111,,26.7,2006.0
0111,,26.7,2007.0
0111,,26.7,2008.0
0201,,1.3,1993.0
0201,,1.3,1994.0
0201,,1.3,1995.0
0201,,1.3,1996.0
0201,,1.27,1997.0
0201,,1.25,1998.0
0201,,1.23,1999.0
0201,,1.21,2000.0
0201,,1.18,2001.0
0201,,1.16,2002.0
0201,,1.14,2003.0
0201,,1.12,2004.0
0201,,1.1,2005.0
0201,,1.07,2006.0
0201,,1.05,2007.0
0201,,1.03,2008.0
0202,,3.27,1993.0
0202,,3.27,1994.0
0202,,3.27,1995.0
0202,,3.27,1996.0
0202,,3.27,1997.0
0202,,3.27,1998.0
0202,,3.27,1999.0
0202,,3.27,2000.0
0202,,3.27,2001.0
0202,,3.27,2002.0
0202,,3.27,2003.0
0202,,3.27,2004.0
0202,,3.27,2005.0
0202,,3.27,2006.0
0202,,3.27,2007.0
0202,,3.27,2008.0
0203,,1.89,1993.0
0203,,1.89,1994.0
0203,,1.89,1995.0
0203,,1.89,1996.0
0203,,1.89,1997.0
0203,,1.89,1998.0
0203,,1.89,1999.0
0203,,1.89,2000.0
0203,,1.89,2001.0
0203,,1.89,2002.0
0203,,1.89,2003.0
0203,,1.89,2004.0
0203,,1.89,2005.0
0203,,1.89,2006.0
0203,,1.89,2007.0
0203,,1.89,2008.0
0204,,4.88,1993.0
0204,,4.88,1994.0
0204,,4.88,1995.0
0204,,4.88,1996.0
0204,,4.95,1997.0
0204,,5.02,1998.0
0204,,5.09,1999.0
0204,,5.16,2000.0
0204,,5.23,2001.0
0204,,5.3,2002.0
0204,,5.38,2003.0
0204,,5.45,2004.0
0204,,5.52,2005.0
0204,,5.59,2006.0
0204,,5.66,2007.0
0204,,5.73,2008.0
0205,,0.55,1993.0
0205,,0.55,1994.0
0205,,0.55,1995.0
0205,,0.55,1996.0
0205,,0.55,1997.0
0205,,0.55,1998.0
0205,,0.55,1999.0
0205,,0.55,2000.0
0205,,0.55,2001.0
0205,,0.55,2002.0
0205,,0.55,2003.0
0205,,0.55,2004.0
0205,,0.55,2005.0
0205,,0.55,2006.0
0205,,0.55,2007.0
0205,,0.55,2008.0
0301,,0.65,1993.0
0301,,0.65,1994.0
0301,,0.65,1995.0
0301,,0.65,1996.0
0301,,0.63,1997.0
0301,,0.61,1998.0
0301,,0.59,1999.0
0301,,0.57,2000.0
0301,,0.56,2001.0
0301,,0.54,2002.0
0301,,0.52,2003.0
0301,,0.5,2004.0
0301,,0.48,2005.0
0301,,0.47,2006.0
0301,,0.45,2007.0
0301,,0.43,2008.0
0302,,10.31,1993.0
0302,,10.31,1994.0
0302,,10.31,1995.0
0302,,10.31,1996.0
0302,,10.2,1997.0
0302,,10.09,1998.0
0302,,9.98,1999.0
0302,,9.87,2000.0
0302,,9.76,2001.0
0302,,9.65,2002.0
0302,,9.54,2003.0
0302,,9.43,2004.0
0302,,9.32,2005.0
0302,,9.21,2006.0
0302,,9.1,2007.0
0302,,8.99,2008.0
0303,,4.62,1993.0
0303,,4.52,1994.0
0303,,4.43,1995.0
0303,,4.34,1996.0
0303,,4.2,1997.0
0303,,4.07,1998.0
0303,,3.94,1999.0
0303,,3.81,2000.0
0303,,3.69,2001.0
0303,,3.56,2002.0
0303,,3.43,2003.0
0303,,3.3,2004.0
0303,,2.98,2005.0
0303,,2.6,2006.0
0303,,2.51,2007.0
0303,,2.6,2008.0
0304,,7.0,1993.0
0304,,7.0,1994.0
0304,,7.0,1995.0
0304,,7.0,1996.0
0304,,7.23,1997.0
0304,,7.47,1998.0
0304,,7.71,1999.0
0304,,7.94,2000.0
0304,,8.18,2001.0
0304,,8.42,2002.0
0304,,8.66,2003.0
0304,,8.89,2004.0
0304,,9.13,2005.0
0304,,9.37,2006.0
0304,,9.6,2007.0
0304,,9.84,2008.0
0305,,0.82,1993.0
0305,,0.82,1994.0
0305,,0.82,1995.0
0305,,0.82,1996.0
0305,,0.79,1997.0
0305,,0.76,1998.0
0305,,0.74,1999.0
0305,,0.71,2000.0
0305,,0.68,2001.0
0305,,0.66,2002.0
0305,,0.63,2003.0
0305,,0.6,2004.0
0305,,0.58,2005.0
0305,,0.55,2006.0
0305,,0.52,2007.0
0305,,0.5,2008.0
0306,,0.12,1993.0
0306,,0.12,1994.0
0306,,0.12,1995.0
0306,,0.12,1996.0
0306,,0.11,1997.0
0306,,0.11,1998.0
0306,,0.11,1999.0
0306,,0.11,2000.0
0306,,0.1,2001.0
0306,,0.1,2002.0
0306,,0.1,2003.0
0306,,0.1,2004.0
0306,,0.1,2005.0
0306,,0.09,2006.0
0306,,0.09,2007.0
0306,,0.09,2008.0
0307,,40.0,1993.0
0307,,40.0,1994.0
0307,,40.0,1995.0
0307,,40.0,1996.0
0307,,40.0,1997.0
0307,,40.0,1998.0
0307,,40.0,1999.0
0307,,40.0,2000.0
0307,,40.0,2001.0
0307,,40.0,2002.0
0307,,40.0,2003.0
0307,,40.0,2004.0
0307,,40.0,2005.0
0307,,40.0,2006.0
0307,,40.0,2007.0
0307,,40.0,2008.0
0308,,14.6,1993.0
0308,,14.6,1994.0
0308,,14.6,1995.0
0308,,14.6,1996.0
0308,,15.12,1997.0
0308,,15.65,1998.0
0308,,16.18,1999.0
0308,,16.71,2000.0
0308,,17.24,2001.0
0308,,17.77,2002.0
0308,,18.3,2003.0
0308,,18.82,2004.0
0308,,19.35,2005.0
0308,,19.88,2006.0
0308,,20.41,2007.0
0308,,20.94,2008.0
0309,,5.0,1993.0
0309,,5.0,1994.0
0309,,5.0,1995.0
0309,,5.0,1996.0
0309,,5.03,1997.0
0309,,5.07,1998.0
0309,,5.1,1999.0
0309,,5.14,2000.0
1001,,44.0,2005.0
0309,,5.17,2001.0
0309,,5.21,2002.0
0309,,5.25,2003.0
0309,,5.28,2004.0
0309,,5.32,2005.0
0309,,5.35,2006.0
0309,,5.39,2007.0
0309,,5.42,2008.0
0401,,0.39,1993.0
0401,,0.39,1994.0
0401,,0.39,1995.0
0401,,0.39,1996.0
0401,,0.39,1997.0
0401,,0.39,1998.0
0401,,0.39,1999.0
0401,,0.39,2000.0
0401,,0.39,2001.0
0401,,0.39,2002.0
0401,,0.39,2003.0
0401,,0.39,2004.0
0401,,0.39,2005.0
0401,,0.39,2006.0
0401,,0.39,2007.0
0401,,0.39,2008.0
0402,,0.4,1993.0
0402,,0.4,1994.0
0402,,0.4,1995.0
0402,,0.4,1996.0
0402,,0.38,1997.0
0402,,0.37,1998.0
0402,,0.36,1999.0
0402,,0.35,2000.0
0402,,0.33,2001.0
0402,,0.32,2002.0
0402,,0.31,2003.0
0402,,0.3,2004.0
0402,,0.29,2005.0
0402,,0.27,2006.0
0402,,0.26,2007.0
0402,,0.25,2008.0
0403,,4.15,1993.0
0403,,4.15,1994.0
0403,,4.15,1995.0
0403,,4.15,1996.0
0403,,4.12,1997.0
0403,,4.09,1998.0
0403,,4.06,1999.0
0403,,4.03,2000.0
0403,,4.0,2001.0
0403,,3.97,2002.0
0403,,3.94,2003.0
0403,,3.91,2004.0
0403,,3.88,2005.0
0403,,3.85,2006.0
0403,,3.82,2007.0
0403,,3.79,2008.0
0404,,3.51,1993.0
0404,,3.51,1994.0
0404,,3.51,1995.0
0404,,3.51,1996.0
0404,,3.51,1997.0
0404,,3.51,1998.0
0404,,3.51,1999.0
0404,,3.51,2000.0
0404,,3.51,2001.0
0404,,3.51,2002.0
0404,,3.51,2003.0
0404,,3.51,2004.0
0404,,3.51,2005.0
0404,,3.51,2006.0
0404,,3.51,2007.0
0404,,3.51,2008.0
0405,,3.0,1993.0
0405,,3.0,1994.0
0405,,3.0,1995.0
0405,,3.0,1996.0
0405,,2.93,1997.0
0405,,2.87,1998.0
0405,,2.81,1999.0
0405,,2.75,2000.0
0405,,2.69,2001.0
0405,,2.63,2002.0
0405,,2.57,2003.0
0405,,2.5,2004.0
0405,,2.44,2005.0
0405,,2.38,2006.0
0405,,2.32,2007.0
0405,,2.26,2008.0
0406,,1.0,1993.0
0406,,1.0,1994.0
0406,,1.0,1995.0
0406,,1.0,1996.0
0406,,0.94,1997.0
0406,,0.89,1998.0
0406,,0.84,1999.0
0406,,0.79,2000.0
0406,,0.74,2001.0
0406,,0.69,2002.0
0406,,0.64,2003.0
0406,,0.59,2004.0
0406,,0.54,2005.0
0406,,0.49,2006.0
0406,,0.44,2007.0
0406,,0.39,2008.0
0407,,25.0,1993.0
0407,,25.0,1994.0
0407,,25.0,1995.0
0407,,25.0,1996.0
0407,,25.58,1997.0
0407,,26.17,1998.0
0407,,26.75,1999.0
0407,,27.34,2000.0
0407,,27.92,2001.0
0407,,28.51,2002.0
0407,,29.1,2003.0
0407,,29.68,2004.0
0407,,30.27,2005.0
0407,,30.85,2006.0
0407,,31.44,2007.0
0407,,32.02,2008.0
0408,,7.0,1993.0
0408,,7.0,1994.0
0408,,7.0,1995.0
0408,,7.0,1996.0
0408,,7.55,1997.0
0801,,0.18,2010.0
0802,,67.04,2010.0
0901,,0.24,2010.0
0902,,5.51,2010.0
0112,,41.7,1998.0
0112,,41.7,2003.0
0112,,41.7,1996.0
0112,,41.7,2008.0
0112,,41.7,2007.0
0112,,41.7,2006.0
0112,,41.7,2009.0
0112,,41.7,2004.0
0112,,41.7,2010.0
0112,,41.7,2002.0
0112,,41.7,1993.0
0112,,41.7,2000.0
0112,,41.7,1999.0
0112,,41.7,1997.0
0112,,41.7,1995.0
0112,,41.7,1994.0
0112,,41.7,2001.0
0112,,41.7,2005.0
0113,,92.87,1998.0
0113,,100.05,2003.0
0113,,90.0,1996.0
0113,,107.22,2008.0
0113,,105.79,2007.0
0113,,104.35,2006.0
0113,,108.66,2009.0
0113,,101.48,2004.0
0113,,110.1,2010.0
0113,,98.61,2002.0
0113,,90.0,1993.0
0113,,95.74,2000.0
0113,,94.3,1999.0
0113,,91.43,1997.0
0113,,90.0,1995.0
0113,,90.0,1994.0
0113,,97.17,2001.0
0113,,102.92,2005.0
0114,,17.27,1998.0
0114,,19.62,2003.0
0114,,16.34,1996.0
0114,,21.96,2008.0
0114,,21.49,2007.0
0114,,21.02,2006.0
0114,,22.43,2009.0
0114,,20.08,2004.0
0114,,22.9,2010.0
0114,,19.15,2002.0
0114,,16.34,1993.0
0114,,18.21,2000.0
0114,,17.74,1999.0
0114,,16.8,1997.0
0114,,16.34,1995.0
0114,,16.34,1994.0
0114,,18.68,2001.0
0114,,20.55,2005.0
0001,,30.85,2011.0
1001,,44.0,2011.0
1002,,92.22,2011.0
0101,,124.61,2011.0
0102,,43.3,2011.0
0103,,47.66,2011.0
0104,,72.54,2011.0
0105,,45.98,2011.0
0106,,12.14,2011.0
0108,,40.79,2011.0
0109,,44.09,2011.0
0111,,26.7,2011.0
0201,,0.99,2011.0
0202,,3.27,2011.0
0203,,1.89,2011.0
0204,,5.88,2011.0
0205,,0.55,2011.0
0301,,0.4,2011.0
0302,,8.77,2011.0
0303,,1.91,2011.0
0304,,10.32,2011.0
0305,,0.45,2011.0
0306,,0.09,2011.0
0307,,40.0,2011.0
0308,,22.0,2011.0
0309,,5.5,2011.0
0401,,0.39,2011.0
0402,,0.23,2011.0
0403,,3.73,2011.0
0404,,3.51,2011.0
0405,,2.14,2011.0
0406,,0.29,2011.0
0407,,33.2,2011.0
0408,,14.0,2011.0
0501,,0.09,2011.0
0502,,0.08,2011.0
0505,,0.08,2011.0
0504,,0.07,2011.0
0503,,0.11,2011.0
0506,,0.45,2011.0
0507,,2.67,2011.0
0701,,0.45,2011.0
0702,,0.48,2011.0
0703,,7.37,2011.0
0801,,0.18,2011.0
0802,,67.04,2011.0
0901,,0.24,2011.0
0902,,5.51,2011.0
0112,,41.7,2011.0
0113,,110.1,2011.0
0114,,22.9,2011.0
0002,,17.0,1999.0
0002,,17.0,2000.0
0002,,17.0,2001.0
0002,,17.0,2002.0
0002,,17.0,2003.0
0002,,17.0,2004.0
0002,,17.0,2005.0
0002,,17.0,2006.0
0002,,17.0,2007.0
0002,,17.0,2008.0
0002,,17.0,2009.0
0002,,17.0,2010.0
0002,,17.0,2011.0
0002,,17.0,1998.0
0002,,17.0,1997.0
0002,,17.0,1996.0
0002,,17.0,1995.0
0002,,17.0,1994.0
0002,,17.0,1993.0
0001,,30.85,2012.0
1001,,44.0,2012.0
1002,,92.22,2012.0
0101,,124.61,2012.0
0102,,43.3,2012.0
0103,,47.66,2012.0
0104,,72.54,2012.0
0105,,45.98,2012.0
0106,,12.14,2012.0
0108,,40.79,2012.0
0109,,44.09,2012.0
0111,,26.7,2012.0
0201,,0.99,2012.0
0202,,3.27,2012.0
0203,,1.89,2012.0
0204,,5.88,2012.0
0205,,0.55,2012.0
0301,,0.4,2012.0
0302,,8.77,2012.0
0303,,1.59,2012.0
0304,,10.32,2012.0
0305,,0.45,2012.0
0306,,0.09,2012.0
0307,,40.0,2012.0
0308,,22.0,2012.0
0309,,5.5,2012.0
0401,,0.39,2012.0
0402,,0.23,2012.0
0403,,3.73,2012.0
0404,,3.51,2012.0
0405,,2.14,2012.0
0406,,0.29,2012.0
0407,,33.2,2012.0
0408,,13.5,2012.0
0501,,0.09,2012.0
0502,,0.08,2012.0
0505,,0.08,2012.0
0504,,0.07,2012.0
0503,,0.11,2012.0
0506,,0.45,2012.0
0507,,2.67,2012.0
0701,,0.45,2012.0
0702,,0.48,2012.0
0703,,7.37,2012.0
0801,,0.18,2012.0
0802,,67.04,2012.0
0901,,0.24,2012.0
0902,,5.51,2012.0
0112,,41.7,2012.0
0113,,110.1,2012.0
0114,,22.9,2012.0
0002,,17.0,2012.0
0408,,8.1,1998.0
0408,,8.65,1999.0
0408,,9.2,2000.0
0408,,9.75,2001.0
0408,,10.3,2002.0
0408,,10.85,2003.0
0408,,11.4,2004.0
0408,,11.95,2005.0
0408,,12.5,2006.0
0408,,13.05,2007.0
0408,,13.6,2008.0
0501,,0.09,1993.0
0501,,0.09,1994.0
0501,,0.09,1995.0
0501,,0.09,1996.0
0501,,0.09,1997.0
0501,,0.09,1998.0
0501,,0.09,1999.0
0501,,0.09,2000.0
0501,,0.09,2001.0
0501,,0.09,2002.0
0501,,0.09,2003.0
0501,,0.09,2004.0
0501,,0.09,2005.0
0501,,0.09,2006.0
0501,,0.09,2007.0
0501,,0.09,2008.0
0502,,0.08,1993.0
0502,,0.08,1994.0
0502,,0.08,1995.0
0502,,0.08,1996.0
0502,,0.08,1997.0
0502,,0.08,1998.0
0502,,0.08,1999.0
0502,,0.08,2000.0
0502,,0.08,2001.0
0502,,0.08,2002.0
0502,,0.08,2003.0
0502,,0.08,2004.0
0502,,0.08,2005.0
0502,,0.08,2006.0
0502,,0.08,2007.0
0502,,0.08,2008.0
0505,,0.08,1993.0
0505,,0.08,1994.0
0505,,0.08,1995.0
0505,,0.08,1996.0
0505,,0.08,1997.0
0505,,0.08,1998.0
0505,,0.08,1999.0
0505,,0.08,2000.0
0505,,0.08,2001.0
0505,,0.08,2002.0
0505,,0.08,2003.0
0505,,0.08,2004.0
0505,,0.08,2005.0
0505,,0.08,2006.0
0505,,0.08,2007.0
0505,,0.08,2008.0
0504,,0.07,1993.0
0504,,0.07,1994.0
0504,,0.07,1995.0
0504,,0.07,1996.0
0504,,0.07,1997.0
0504,,0.07,1998.0
0504,,0.07,1999.0
0504,,0.07,2000.0
0504,,0.07,2001.0
0504,,0.07,2002.0
0504,,0.07,2003.0
0504,,0.07,2004.0
0504,,0.07,2005.0
0504,,0.07,2006.0
0504,,0.07,2007.0
0504,,0.07,2008.0
0503,,0.11,1993.0
0503,,0.11,1994.0
0503,,0.11,1995.0
0503,,0.11,1996.0
0503,,0.11,1997.0
0503,,0.11,1998.0
0503,,0.11,1999.0
0503,,0.11,2000.0
0503,,0.11,2001.0
0503,,0.11,2002.0
0503,,0.11,2003.0
0503,,0.11,2004.0
0503,,0.11,2005.0
0503,,0.11,2006.0
0503,,0.11,2007.0
0503,,0.11,2008.0
0506,,0.45,1993.0
0506,,0.45,1994.0
0506,,0.45,1995.0
0506,,0.45,1996.0
0506,,0.45,1997.0
0506,,0.45,1998.0
0506,,0.45,1999.0
0506,,0.45,2000.0
0506,,0.45,2001.0
0506,,0.45,2002.0
0506,,0.45,2003.0
0506,,0.45,2004.0
0506,,0.45,2005.0
0506,,0.45,2006.0
0506,,0.45,2007.0
0506,,0.45,2008.0
0507,,2.67,1993.0
0507,,2.67,1994.0
0507,,2.67,1995.0
0507,,2.67,1996.0
0507,,2.67,1997.0
0507,,2.67,1998.0
0507,,2.67,1999.0
0507,,2.67,2000.0
0507,,2.67,2001.0
0507,,2.67,2002.0
0507,,2.67,2003.0
0507,,2.67,2004.0
0507,,2.67,2005.0
0507,,2.67,2006.0
0507,,2.67,2007.0
0507,,2.67,2008.0
0701,,0.45,1993.0
0701,,0.45,1994.0
0701,,0.45,1995.0
0701,,0.45,1996.0
0701,,0.45,1997.0
0701,,0.45,1998.0
0701,,0.45,1999.0
0701,,0.45,2000.0
0701,,0.45,2001.0
0701,,0.45,2002.0
0701,,0.45,2003.0
0701,,0.45,2004.0
0701,,0.45,2005.0
0701,,0.45,2006.0
0701,,0.45,2007.0
0701,,0.45,2008.0
0702,,0.48,1993.0
0702,,0.48,1994.0
0702,,0.48,1995.0
0702,,0.48,1996.0
0702,,0.48,1997.0
0702,,0.48,1998.0
0702,,0.48,1999.0
0702,,0.48,2000.0
0702,,0.48,2001.0
0702,,0.48,2002.0
0702,,0.48,2003.0
0702,,0.48,2004.0
0702,,0.48,2005.0
0702,,0.48,2006.0
0702,,0.48,2007.0
0702,,0.48,2008.0
0703,,7.37,1993.0
0703,,7.37,1994.0
0703,,7.37,1995.0
0703,,7.37,1996.0
0703,,7.37,1997.0
0703,,7.37,1998.0
0703,,7.37,1999.0
0703,,7.37,2000.0
0703,,7.37,2001.0
0703,,7.37,2002.0
0703,,7.37,2003.0
0703,,7.37,2004.0
0703,,7.37,2005.0
0703,,7.37,2006.0
0703,,7.37,2007.0
0703,,7.37,2008.0
1001,,44.0,1993.0
1001,,44.0,1994.0
1001,,44.0,1995.0
1001,,44.0,1996.0
1001,,44.0,1997.0
1001,,44.0,1998.0
1001,,44.0,1999.0
1001,,44.0,2000.0
1001,,44.0,2001.0
1001,,44.0,2002.0
1001,,44.0,2003.0
1001,,44.0,2004.0
0801,,0.18,1993.0
0801,,0.18,1994.0
0801,,0.18,1995.0
0801,,0.18,1996.0
0801,,0.18,1997.0
0801,,0.18,1998.0
0801,,0.18,1999.0
0801,,0.18,2000.0
0801,,0.18,2001.0
0801,,0.18,2002.0
0801,,0.18,2003.0
0801,,0.18,2004.0
0801,,0.18,2005.0
0801,,0.18,2006.0
0801,,0.18,2007.0
0801,,0.18,2008.0
0802,,67.04,1993.0
0802,,67.04,1994.0
0802,,67.04,1995.0
0802,,67.04,1996.0
0802,,67.04,1997.0
0802,,67.04,1998.0
0802,,67.04,1999.0
0802,,67.04,2000.0
0802,,67.04,2001.0
0802,,67.04,2002.0
0802,,67.04,2003.0
0802,,67.04,2004.0
0802,,67.04,2005.0
0802,,67.04,2006.0
0802,,67.04,2007.0
0802,,67.04,2008.0
0901,,0.24,1993.0
0901,,0.24,1994.0
0901,,0.24,1995.0
0901,,0.24,1996.0
0901,,0.24,1997.0
0901,,0.24,1998.0
0901,,0.24,1999.0
0901,,0.24,2000.0
0901,,0.24,2001.0
0901,,0.24,2002.0
0901,,0.24,2003.0
0901,,0.24,2004.0
